time,total,idle,mem_total,mem_free,4320/cpu,4320/rss,4339/cpu,4339/rss,4349/cpu,4349/rss,4450/cpu,4450/rss,4451/cpu,4451/rss,8877/cpu,8877/rss,8966/cpu,8966/rss,9073/cpu,9073/rss,9161/cpu,9161/rss,9270/cpu,9270/rss,9525/cpu,9525/rss
86370.72,2817988,2766543,16370460,11090596,1480,109936,8430,65692,13365,401232,768,67532,4788,130036,552,79056,569,71804,420,57144,772,55668,280,66836,166,47912
87373.74,2818584,2767112,16370460,11090344,1480,109936,8434,65512,13369,401232,768,67532,4789,130036,554,79056,569,71804,420,57144,772,55668,280,66836,166,47912
88376.84,2819180,2767691,16370460,11090344,1480,109936,8435,65512,13371,401232,768,67532,4790,130036,557,79056,569,71804,420,57144,772,55668,281,66836,166,47912
89383.06,2819776,2768264,16370460,11089336,1480,109936,8436,65896,13374,401232,768,67532,4791,130036,560,79056,569,71804,420,57144,772,55668,281,66836,166,47912
90387.57,2820373,2768840,16370460,11089336,1481,109936,8438,65896,13376,401232,768,67532,4792,130036,562,79056,569,71804,421,57144,772,55668,281,66836,166,47912
91391.21,2820970,2769410,16370460,11089336,1481,109936,8438,65896,13378,401232,769,67532,4793,130036,564,79056,570,71804,421,57144,772,55668,281,66836,166,47912
92395.84,2821566,2769985,16370460,11089112,1481,109936,8440,65896,13379,401232,769,67532,4794,130036,568,79056,570,71804,421,57144,773,55668,281,66836,166,47912
93399.94,2822164,2770560,16370460,11088612,1481,109936,8441,65896,13383,401232,769,67532,4794,130036,570,79056,570,71804,421,57144,774,55668,281,66836,166,47912
94405.49,2822760,2771132,16370460,11087620,1481,109936,8442,65896,13384,401232,769,67532,4795,130036,573,79056,570,71804,421,57144,774,55668,281,66836,166,47912
95409.69,2823356,2771705,16370460,11087620,1481,109936,8444,65896,13386,401232,769,67532,4796,130036,576,79056,570,71804,421,57144,774,55668,281,66836,166,47912
96415.72,2823953,2772274,16370460,11087620,1481,109936,8445,65676,13390,401232,769,67532,4798,130036,579,79056,570,71804,421,57144,774,55668,281,66836,167,47912
97417.95,2824547,2772842,16370460,11086876,1482,109936,8450,65844,13393,401232,769,67532,4798,130036,581,79056,570,71804,422,57144,774,55668,281,66836,167,47912
98420.52,2825141,2773417,16370460,11086876,1483,109936,8451,65844,13395,401232,769,67532,4799,130036,584,79056,570,71804,422,57144,775,55668,281,66836,167,47912
99423.73,2825737,2773987,16370460,11088900,1483,109936,8452,66100,13397,401232,769,67532,4800,130036,587,79056,570,71804,422,57144,775,55668,281,66836,167,47912
100426.89,2826333,2774560,16370460,11088900,1483,109936,8454,66100,13399,401232,770,67532,4801,130036,590,79056,570,71804,422,57144,775,55668,281,66836,167,47912
101430.09,2826928,2775126,16370460,11088900,1483,109936,8455,66100,13403,401232,770,67532,4802,130164,593,79056,570,71804,422,57144,775,55668,281,66836,167,47912
102432.97,2827523,2775702,16370460,11088900,1484,109936,8455,66100,13404,401232,770,67532,4803,130164,594,79056,570,71804,422,57144,775,55668,281,66836,167,47912
103436.28,2828119,2776277,16370460,11088900,1484,109936,8457,66228,13407,401232,770,67532,4804,130164,598,79056,570,71804,422,57144,775,55668,281,66836,167,47912
104439.48,2828713,2776850,16370460,11088144,1484,109936,8460,67892,13409,401232,770,67532,4805,130164,601,79056,570,71804,423,57144,775,55668,281,66836,167,47912
105442.19,2829310,2777423,16370460,11087892,1484,109936,8461,67892,13411,401232,770,67532,4806,130164,602,79056,570,71804,424,57272,775,55668,281,66836,167,47912
106445.01,2829905,2777993,16370460,11087892,1484,109936,8463,67624,13415,401232,770,67532,4806,130164,605,79440,570,71804,424,57272,775,55668,281,66836,167,47912
107449.08,2830502,2778554,16370460,11095932,1484,109936,8467,66400,13427,382560,771,67532,4808,130292,608,79440,571,71804,424,57400,776,55668,281,66836,167,47912
108453.37,2831098,2779131,16370460,11095932,1485,109936,8468,66400,13429,382560,771,67532,4808,130292,611,79440,571,71804,424,57400,776,55668,281,66836,167,47912
109457.55,2831694,2779695,16370460,11099096,1485,109936,8470,66400,13431,382560,771,67532,4810,130292,614,79440,571,71804,424,57528,776,55668,281,66836,167,47912
110462.65,2832290,2780271,16370460,11098436,1485,109936,8471,66400,13434,382560,772,67532,4810,130292,617,79440,571,71804,425,57528,776,55668,282,66836,167,47912
111466.75,2832886,2780841,16370460,11097932,1485,109936,8472,66400,13436,382560,772,67532,4812,130292,618,79440,572,71804,425,57656,776,55668,282,66836,167,47912
112473.35,2833485,2781416,16370460,11097932,1485,109936,8473,66400,13438,382560,772,67532,4812,130292,622,79440,572,71804,425,57656,776,55668,283,66836,167,47912
113477.82,2834082,2781992,16370460,11097932,1485,109936,8474,66400,13441,382560,772,67532,4813,130292,624,79440,572,71804,425,57656,776,55668,283,66836,167,47912
114481.27,2834676,2782563,16370460,11094152,1487,109936,8477,68064,13443,382560,772,67532,4814,130292,628,79440,572,71804,425,57656,776,55668,283,66836,167,47912
115484.61,2835273,2783132,16370460,11094152,1487,109936,8480,69024,13449,384224,772,67532,4815,130292,630,79440,572,71804,425,57784,777,55668,283,66836,167,47912
116488.23,2835868,2783697,16370460,11094152,1487,109936,8483,67144,13453,384224,772,67532,4816,130292,633,79440,572,71804,425,57784,777,55668,283,66836,167,47912
117491.81,2836464,2784269,16370460,11094152,1487,109936,8486,67144,13456,384224,772,67532,4817,130292,635,79440,572,71804,425,57784,777,55668,283,66836,167,47912
118495.91,2837061,2784844,16370460,11094152,1487,109936,8487,67144,13458,384224,772,67532,4818,130292,638,79440,572,71804,426,57784,777,55668,283,66836,167,47912
119500.79,2837660,2785418,16370460,11094152,1488,109936,8488,67144,13462,384224,773,67532,4819,130292,640,79440,572,71804,426,57784,777,55668,283,66836,167,47912
120505.3,2838254,2785995,16370460,11100048,1488,109936,8490,67144,13463,384224,773,67532,4821,130292,643,79440,572,71804,426,58040,778,55668,283,66836,167,47912
121509.57,2838852,2786582,16370460,11099292,1488,109936,8490,67144,13465,384224,773,67532,4821,130292,643,79440,572,71804,427,58040,778,55668,283,66836,167,47912
122513.69,2839446,2787151,16370460,11097880,1488,109936,8498,67360,13475,384224,773,67788,4823,130292,643,79440,573,71804,427,58296,778,55668,283,66836,168,47912
123516.9,2840043,2787740,16370460,11102016,1489,109936,8498,67360,13477,384224,773,67788,4824,130292,643,79440,574,71804,428,58296,779,55668,283,66836,168,47912
124521.17,2840641,2788324,16370460,11100760,1489,109936,8500,67360,13480,384224,773,67788,4825,130292,643,79440,574,71804,428,58296,780,55668,283,66836,168,47912
125526.03,2841239,2788909,16370460,11100536,1489,109936,8502,67360,13483,384224,773,67788,4826,130292,643,79440,574,71804,428,58296,780,55668,283,66836,168,47912
126529.69,2841836,2789495,16370460,11100536,1489,109936,8504,67464,13486,384224,774,67788,4827,130292,643,79440,574,71804,428,58296,780,55668,283,66836,168,47912
127533.16,2842433,2790078,16370460,11100536,1490,109936,8507,67324,13489,384224,774,67788,4829,130292,643,79440,574,71804,428,58296,780,55668,283,66836,168,47912
128536.3,2843030,2790640,16370460,11099052,1490,109936,8514,67284,13507,384224,774,67788,4830,130420,643,79440,575,71804,429,58296,780,55668,283,66836,168,47912
129541.51,2843629,2791232,16370460,11099052,1490,109936,8515,67412,13509,384224,774,67788,4832,130420,643,79440,576,71804,430,58296,781,55668,283,66836,168,47912
130546.85,2844228,2791819,16370460,11111468,1490,109936,8516,67384,13512,384224,774,67788,4833,130420,643,79440,576,71804,431,58296,781,55668,283,66964,168,47912
131551.79,2844827,2792403,16370460,11108724,1490,109936,8518,67384,13515,384224,774,67788,4833,130420,643,79440,576,71804,431,58296,781,55668,283,66964,168,47912
132556.89,2845424,2792971,16370460,11106188,1491,109936,8524,67396,13523,384352,774,67788,4837,130420,643,79440,577,71804,432,58296,782,55668,283,66964,168,47912
133561.69,2846023,2793564,16370460,11105936,1491,109936,8525,67396,13525,384352,775,67788,4839,130420,643,79440,577,71804,432,58296,782,55668,284,66964,168,47912
134565.05,2846622,2794153,16370460,11105712,1491,109936,8526,67396,13529,384352,776,67788,4839,130420,643,79440,577,71804,432,58296,782,55668,284,67092,168,47912
135569.18,2847217,2794737,16370460,11105460,1492,109936,8528,67396,13531,384352,776,67788,4840,130420,644,79440,577,71804,432,58296,782,55668,284,67092,168,47912
136572.16,2847816,2795304,16370460,11106232,1492,109936,8536,67600,13542,384352,776,67788,4842,130420,644,79440,579,71804,433,58296,783,55668,284,67092,168,47912
137577.32,2848413,2795890,16370460,11105528,1492,109936,8539,67352,13545,384352,776,67788,4843,130420,644,79440,579,71804,433,58296,783,55668,284,67092,168,47912
138581.6,2849011,2796481,16370460,11103764,1493,109936,8540,69016,13547,384352,776,67788,4844,130420,644,79440,579,71804,433,58296,783,55668,284,67092,168,47912
139585.74,2849607,2797064,16370460,11103524,1493,109936,8543,69016,13550,384352,776,67788,4845,130420,644,79440,579,71804,434,58296,783,55668,284,67092,168,47912
140591.05,2850206,2797632,16370460,11089220,1493,109936,8549,68224,13558,384352,776,67788,4847,130548,644,79440,580,71804,435,58296,784,55668,284,67092,168,47912
141596.37,2850805,2798221,16370460,11091620,1493,109936,8549,68224,13560,384352,776,67788,4848,130676,644,79440,580,71804,435,58296,785,55668,284,67092,168,47912
142602.57,2851404,2798816,16370460,11091620,1493,109936,8550,68224,13562,384352,776,67788,4849,130676,644,79440,580,71804,435,58296,785,55668,284,67092,168,47912
143607.09,2852002,2799406,16370460,11089384,1494,109936,8552,70144,13564,384352,776,67788,4850,130676,644,79440,580,71804,435,58296,785,55668,284,67092,168,47912
144612.26,2852602,2799970,16370460,11086892,1495,109936,8558,64796,13580,386656,777,67916,4851,130676,644,79440,582,71804,436,58296,786,55356,284,67220,169,47912
145616.09,2853198,2800547,16370460,11086892,1495,109936,8561,65016,13586,386656,777,67916,4854,130676,644,79440,582,71804,437,58296,786,55356,284,67220,169,47912
146620.84,2853796,2801133,16370460,11086892,1495,109936,8564,65016,13589,386656,777,67916,4854,130676,644,79440,582,71804,437,58296,786,55356,284,67220,169,47912
147627.49,2854395,2801720,16370460,11086888,1495,109936,8568,64848,13593,386784,778,67916,4855,130676,644,79440,582,71804,437,58296,787,55356,284,67220,169,47912
