time,total,idle,mem_total,mem_free,2028/cpu,2028/rss,2030/cpu,2030/rss,2054/cpu,2054/rss,2056/cpu,2056/rss,2938/cpu,2938/rss,2954/cpu,2954/rss,3862/cpu,3862/rss,3888/cpu,3888/rss
98280.22,1380127,1241585,3887864,1551480,14747,82992,7116,71228,34189,367556,7219,117700,1259,88344,287,41764,482,16600,1900,55388
99283.25,1380525,1241925,3887864,1559312,14750,82992,7116,71228,34198,367556,7226,117704,1259,88344,287,41764,482,16600,1900,55388
100285.35,1380921,1242305,3887864,1559696,14754,82992,7118,71228,34204,367556,7229,117704,1259,88344,287,41764,482,16600,1900,55388
101287.45,1381314,1242662,3887864,1561488,14758,82992,7120,71228,34212,367556,7230,117704,1259,88344,287,41764,482,16600,1900,55388
102289.45,1381716,1243046,3887864,1562376,14760,82992,7121,71228,34216,367556,7232,117704,1259,88344,287,41764,482,16600,1900,55388
103291.5,1382112,1243388,3887864,1566992,14766,82992,7122,71228,34232,367556,7233,117704,1259,88344,287,41764,482,16600,1903,55388
104295.99,1382507,1243754,3887864,1567912,14768,82992,7124,71228,34237,367556,7235,117704,1259,88344,288,41764,482,16600,1903,55388
105298.79,1382901,1244089,3887864,1555144,14775,82992,7127,71228,34248,367556,7238,117704,1260,88344,288,41764,482,16600,1903,55388
106300.87,1383300,1244458,3887864,1554840,14778,82992,7130,71228,34256,367556,7240,117704,1261,88344,288,41764,482,16600,1903,55388
107302.9,1383696,1244833,3887864,1561792,14782,82992,7131,71228,34264,367556,7241,117704,1261,88344,288,41764,483,16600,1904,55388
108304.89,1384090,1245188,3887864,1549040,14785,82992,7132,71228,34271,367560,7243,117704,1262,88344,288,41764,483,16600,1904,55388
109306.96,1384490,1245563,3887864,1549292,14787,82992,7134,71228,34279,367560,7245,117704,1263,88344,288,41764,483,16600,1905,55388
110312.77,1384886,1245921,3887864,1562072,14791,82996,7136,71228,34285,367560,7246,117704,1263,88344,288,41764,483,16600,1905,55388
111324.14,1385284,1246277,3887864,1562376,14798,82996,7139,71228,34299,367560,7249,117704,1263,88344,288,41764,483,16600,1905,55388
112329.46,1385678,1246613,3887864,1553508,14804,82996,7142,71228,34312,367560,7251,117704,1263,88344,288,41764,484,16600,1905,55388
113331.76,1386077,1246993,3887864,1557352,14807,82996,7144,71228,34318,367560,7252,117704,1263,88344,288,41764,484,16600,1905,55388
114333.95,1386472,1247285,3887864,1554156,14812,83000,7146,71228,34367,367560,7254,117704,1265,88344,288,41764,484,16608,1907,55404
115335.98,1386871,1247666,3887864,1553928,14816,83000,7148,71228,34372,367560,7256,117704,1265,88344,288,41764,485,16608,1907,55404
116338.04,1387267,1248019,3887864,1560952,14819,83000,7150,71228,34380,367560,7258,117704,1265,88344,289,41764,485,16608,1908,55404
117345.23,1387662,1248387,3887864,1560796,14824,83000,7153,71228,34391,367560,7260,117704,1266,88344,289,41764,485,16608,1908,55404
118362.62,1388063,1248758,3887864,1560828,14827,83000,7157,71228,34398,367560,7262,117704,1266,88344,289,41764,485,16608,1908,55404
119364.89,1388470,1249102,3887864,1552768,14832,83000,7158,71228,34408,367560,7264,117704,1269,88420,289,41764,485,16608,1908,55404
120367.04,1388870,1249487,3887864,1553744,14834,83000,7160,71228,34412,367560,7265,117704,1269,88420,289,41764,485,16608,1908,55404
121369.09,1389267,1249840,3887864,1556380,14839,83000,7161,71228,34421,367560,7267,117704,1270,88420,289,41764,485,16608,1908,55404
122371.2,1389662,1250219,3887864,1560952,14842,83000,7163,71228,34428,367560,7268,117704,1270,88420,289,41764,485,16608,1909,55404
123373.23,1390058,1250562,3887864,1564896,14847,83004,7164,71228,34442,367560,7269,117704,1271,88420,289,41764,486,16608,1912,55172
124376.36,1390451,1250892,3887864,1564484,14852,83004,7167,71228,34453,367560,7272,117704,1271,88420,289,41764,486,16608,1913,55172
125378.6,1390847,1251221,3887864,1563888,14857,83004,7169,71228,34463,367560,7274,117704,1271,88420,289,41764,486,16608,1913,55172
126380.76,1391245,1251600,3887864,1563888,14859,83004,7171,71228,34468,367560,7276,117704,1272,88420,290,41764,486,16608,1913,55172
127382.84,1391646,1251958,3887864,1564884,14863,83004,7172,71228,34475,367560,7278,117704,1272,88420,290,41764,486,16608,1914,55172
128384.85,1392045,1252340,3887864,1564636,14864,83004,7174,71228,34479,367560,7278,117704,1272,88420,290,41764,486,16608,1914,55172
129387.3,1392440,1252713,3887864,1558760,14867,83004,7176,71228,34485,367560,7280,117704,1272,88420,290,41764,486,16608,1914,55172
130390.58,1392836,1253067,3887864,1562176,14871,83008,7179,71228,34494,367560,7283,117704,1273,88420,290,41764,486,16608,1914,55172
131392.93,1393226,1253403,3887864,1561928,14887,83204,7183,71228,34512,367560,7286,117704,1273,88420,290,41764,486,16608,1914,55172
132395.03,1393624,1253763,3887864,1552604,14890,83204,7184,71228,34518,367560,7287,117704,1273,88420,290,41764,486,16608,1914,55172
133397.03,1394026,1254141,3887864,1552652,14893,83204,7185,71228,34524,367560,7289,117704,1274,88420,290,41764,486,16608,1914,55172
134399.09,1394425,1254493,3887864,1551980,14896,83204,7187,71228,34529,367560,7290,117704,1274,88420,290,41764,486,16608,1915,55172
135401.14,1394822,1254872,3887864,1553032,14899,83204,7188,71228,34535,367560,7291,117704,1274,88424,290,41764,486,16608,1915,55172
136405.85,1395218,1255228,3887864,1554668,14902,83204,7190,71228,34541,367560,7294,117704,1274,88424,290,41764,486,16608,1915,55172
137409.76,1395611,1255583,3887864,1554836,14909,83204,7194,71228,34557,367560,7297,117704,1275,88432,290,41764,486,16608,1917,55176
138412.06,1396004,1255924,3887864,1563660,14914,83204,7195,71228,34567,367564,7299,117704,1276,88432,290,41764,487,16608,1917,55176
139414.06,1396403,1256302,3887864,1563660,14917,83204,7197,71228,34573,367564,7301,117704,1276,88432,290,41764,487,16608,1917,55176
140416.21,1396797,1256659,3887864,1555156,14919,83204,7199,71228,34578,367564,7302,117704,1277,88432,290,41764,487,16608,1918,55176
141418.22,1397194,1257024,3887864,1561532,14925,83204,7200,71228,34587,367564,7303,117704,1277,88432,290,41764,487,16704,1918,55176
142420.25,1397597,1257409,3887864,1561532,14926,83204,7202,71228,34591,367564,7304,117704,1277,88432,290,41764,487,16576,1918,55176
143423.59,1397991,1257735,3887864,1545908,14935,83204,7204,71228,34611,367564,7307,117704,1277,88432,290,41764,488,16576,1921,55188
144426.94,1398382,1258074,3887864,1547272,14939,83204,7207,71228,34620,367564,7309,117704,1278,88432,290,41764,488,16576,1921,55188
145429.1,1398775,1258418,3887864,1554180,14944,83204,7208,71228,34628,367564,7311,117704,1278,88432,290,41764,488,16576,1921,55188
146431.21,1399172,1258796,3887864,1554696,14948,83204,7211,71228,34634,367564,7313,117704,1278,88432,291,41764,488,16576,1921,55188
147433.3,1399569,1259151,3887864,1541128,14951,83204,7212,71228,34642,367564,7314,117704,1279,88432,291,41764,488,16576,1922,55188
148435.36,1399968,1259535,3887864,1543964,14954,83204,7213,71228,34646,367564,7315,117704,1279,88432,291,41764,488,16576,1923,55188
149437.36,1400367,1259880,3887864,1547736,14960,83204,7214,71228,34657,367564,7317,117704,1279,88432,291,41764,489,16576,1923,55188
150440.65,1400764,1260248,3887864,1549728,14963,83204,7218,71228,34666,367564,7320,117704,1280,88432,291,41764,489,16576,1923,55188
151442.77,1401159,1260588,3887864,1544312,14971,83204,7220,71228,34680,367564,7323,117704,1281,88432,291,41764,489,16576,1923,55188
152444.75,1401555,1260963,3887864,1551992,14974,83204,7221,71228,34687,367564,7324,117704,1281,88432,291,41764,489,16576,1923,55192
153446.86,1401949,1261336,3887864,1553100,14978,83204,7223,71228,34695,367564,7325,117704,1281,88432,291,41764,489,16576,1924,55192
154448.89,1402340,1261681,3887864,1558912,14980,83204,7224,71228,34702,367564,7326,117704,1281,88432,291,41764,489,16576,1925,55192
155450.98,1402733,1262050,3887864,1558892,14983,83204,7225,71228,34708,367564,7328,117704,1282,88432,291,41764,489,16576,1925,55192
156454.6,1403128,1262401,3887864,1559688,14987,83204,7229,71228,34715,367564,7330,117704,1282,88432,292,41764,489,16576,1925,55192
157458.23,1403522,1262760,3887864,1560352,14993,83204,7232,71228,34727,367564,7333,117704,1283,88432,292,41764,489,16576,1925,55192
158460.44,1403917,1263103,3887864,1562888,14999,83204,7234,71228,34739,367564,7335,117704,1283,88432,292,41764,489,16576,1926,55192
159462.51,1404317,1263483,3887864,1562856,15002,83204,7235,71228,34744,367564,7336,117704,1283,88432,292,41764,489,16576,1926,55192
160464.54,1404718,1263839,3887864,1560300,15005,83204,7236,71228,34752,367564,7339,117708,1284,88432,292,41764,489,16576,1926,55192
161466.6,1405112,1264217,3887864,1560416,15010,83204,7237,71228,34759,367564,7341,117708,1284,88432,292,41764,489,16576,1926,55192
162468.6,1405508,1264575,3887864,1561464,15013,83204,7239,71228,34766,367564,7342,117708,1284,88432,292,41764,489,16576,1927,55192
163472.28,1405906,1264928,3887864,1561084,15019,83208,7242,71228,34784,367568,7344,117708,1285,88432,292,41764,490,16576,1930,55192
164474.98,1406298,1265275,3887864,1554536,15023,83208,7244,71228,34797,367572,7346,117708,1285,88432,292,41764,490,16576,1935,55192
165477.04,1406698,1265635,3887864,1549048,15027,83208,7245,71228,34806,367572,7347,117708,1285,88432,292,41764,490,16576,1935,55192
166479.83,1407097,1266015,3887864,1550200,15029,83208,7247,71228,34810,367572,7349,117708,1285,88432,293,41764,491,16576,1935,55192
167481.84,1407496,1266368,3887864,1550208,15034,83208,7249,71228,34820,367572,7350,117708,1286,88432,293,41764,491,16576,1936,55192
168483.87,1407895,1266752,3887864,1552420,15036,83208,7250,71228,34825,367572,7352,117708,1286,88432,293,41764,491,16576,1936,55192
169485.87,1408290,1267082,3887864,1550968,15040,83208,7251,71228,34838,367572,7355,117708,1286,88432,293,41764,491,16576,1938,55192
170487.91,1408691,1267465,3887864,1554236,15043,83208,7255,71228,34842,367572,7355,117708,1287,88432,293,41764,491,16576,1938,55192
171489.94,1409090,1267815,3887864,1559860,15048,83208,7256,71228,34852,367572,7357,117708,1288,88432,293,41764,491,16576,1938,55192
172492.01,1409488,1268200,3887864,1559860,15050,83208,7258,71228,34856,367572,7359,117708,1288,88432,293,41764,491,16576,1939,55192
173494.01,1409893,1268555,3887864,1552888,15053,83208,7259,71228,34865,367572,7360,117708,1288,88432,293,41764,491,16576,1939,55192
174496.05,1410292,1268920,3887864,1552972,15056,83208,7260,71228,34870,367572,7362,117708,1288,88432,293,41764,491,16576,1939,55196
175500.02,1410692,1269267,3887864,1541664,15059,83208,7262,71228,34876,367572,7363,117708,1288,88432,293,41764,491,16576,1939,55196
176502.05,1411091,1269639,3887864,1550432,15062,83208,7264,71228,34882,367572,7365,117708,1288,88432,294,41764,492,16576,1939,55196
177504.11,1411486,1270020,3887864,1551764,15065,83208,7266,71228,34887,367572,7367,117708,1288,88432,294,41764,492,16576,1939,55196
178506.14,1411882,1270379,3887864,1560020,15067,83208,7267,71228,34895,367572,7368,117708,1289,88432,294,41764,492,16576,1939,55196
179509.79,1412281,1270742,3887864,1560252,15072,83208,7270,71228,34906,367572,7370,117708,1289,88432,294,41764,492,16576,1941,55196
180512.06,1412681,1271091,3887864,1564236,15077,83208,7272,71228,34913,367572,7372,117708,1290,88432,294,41764,492,16576,1941,55196
181514.07,1413078,1271467,3887864,1564344,15082,83212,7273,71228,34921,367572,7374,117708,1290,88432,294,41764,492,16576,1941,55196
182516.18,1413473,1271828,3887864,1561664,15084,83212,7274,71228,34927,367572,7374,117708,1290,88432,294,41764,492,16576,1941,55196
183518.22,1413870,1272206,3887864,1564100,15087,83212,7275,71228,34934,367572,7376,117708,1291,88432,294,41764,492,16576,1942,55196
184520.37,1414260,1272531,3887864,1563892,15094,83216,7277,71228,34953,367576,7378,117708,1291,88432,294,41764,493,16576,1946,55200
185526.76,1414656,1272896,3887864,1563644,15098,83216,7281,71228,34963,367576,7381,117708,1291,88432,294,41764,493,16576,1946,55200
186528.87,1415051,1273210,3887864,1558204,15103,83216,7285,71228,34972,367576,7385,117708,1291,88432,295,41764,493,16576,1946,55200
187531.02,1415452,1273590,3887864,1559040,15106,83216,7287,71228,34978,367576,7386,117708,1291,88436,295,41764,493,16576,1947,55200
188533.58,1415850,1273971,3887864,1559468,15109,83216,7288,71228,34983,367576,7387,117708,1292,88436,295,41764,493,16576,1947,55200
189535.67,1416252,1274314,3887864,1564520,15114,83216,7289,71228,34996,367576,7390,117708,1292,88436,295,41764,494,16576,1948,55200
190537.69,1416649,1274697,3887864,1564032,15115,83216,7291,71228,35002,367576,7391,117712,1292,88436,295,41764,494,16576,1948,55200
191541.27,1417047,1275041,3887864,1544880,15129,83360,7292,71228,35012,367576,7394,117712,1293,88436,295,41764,494,16576,1949,55200
192545.84,1417443,1275406,3887864,1545416,15134,83360,7296,71228,35020,367576,7396,117712,1294,88436,295,41764,494,16576,1949,55200
193548.03,1417839,1275746,3887864,1536944,15137,83360,7297,71228,35032,367576,7399,117712,1294,88436,295,41764,495,16576,1949,55200
194550.27,1418236,1276112,3887864,1540588,15141,83364,7299,71228,35041,367580,7400,117712,1294,88436,295,41764,495,16580,1951,55200
195553.08,1418634,1276469,3887864,1545044,15143,83364,7300,71228,35048,367580,7401,117712,1294,88436,295,41764,495,16580,1951,55200
196555.17,1419034,1276845,3887864,1546264,15147,83364,7303,71228,35055,367580,7404,117712,1294,88436,295,41764,495,16580,1952,55200
197557.21,1419429,1277199,3887864,1550772,15150,83364,7304,71228,35062,367580,7406,117712,1294,88436,295,41764,495,16580,1953,55200
198562.6,1419825,1277562,3887864,1551560,15155,83364,7306,71228,35073,367580,7408,117712,1295,88436,295,41764,495,16580,1953,55200
199564.9,1420221,1277869,3887864,1552092,15161,83428,7309,71228,35129,367580,7410,117712,1296,88436,295,41764,496,16596,1956,55200
200566.98,1420623,1278240,3887864,1559696,15163,83428,7310,71228,35134,367580,7412,117712,1296,88436,295,41764,496,16596,1956,55200
201568.99,1421019,1278617,3887864,1560180,15168,83428,7312,71228,35142,367580,7413,117712,1297,88436,295,41764,496,16596,1956,55200
