time,total,idle,mem_total,mem_free,4320/cpu,4320/rss,4339/cpu,4339/rss,4349/cpu,4349/rss,4450/cpu,4450/rss,4451/cpu,4451/rss
191845.17,8119356,7969644,16370460,9379012,4047,109788,23391,69156,40854,504320,2181,65080,14693,127464
192848.9,8119954,7970232,16370460,9378760,4047,109788,23393,69156,40858,504320,2181,65080,14694,127464
193853.38,8120552,7970823,16370460,9378760,4047,109788,23395,69156,40861,504320,2181,65080,14695,127464
194857.95,8121150,7971410,16370460,9379012,4047,109788,23396,69156,40863,504320,2181,65080,14697,127464
195861.79,8121740,7971905,16370460,9416936,4048,109788,23408,68044,40876,504320,2182,65080,14700,127464
196865.58,8122339,7972497,16370460,9418192,4049,109788,23408,68044,40877,504320,2182,65080,14701,127464
197871.48,8122939,7973091,16370460,9418444,4049,109788,23409,68044,40880,504320,2182,65080,14702,127464
198876.83,8123537,7973680,16370460,9418152,4049,109788,23412,68044,40883,504320,2182,65080,14703,127464
199881.38,8124134,7974266,16370460,9424228,4050,109788,23414,69452,40885,504320,2182,65080,14703,127464
200887.86,8124733,7974857,16370460,9424228,4050,109788,23415,69452,40888,504320,2182,65080,14705,127464
201892.26,8125330,7975449,16370460,9424228,4050,109788,23416,69452,40890,504320,2182,65080,14705,127464
202896.87,8125928,7976039,16370460,9427712,4050,109788,23418,69452,40893,504320,2182,65080,14707,127464
203901.93,8126526,7976629,16370460,9427460,4050,109788,23419,69452,40896,504320,2183,65080,14708,127464
204907.36,8127126,7977220,16370460,9427208,4052,109788,23421,69508,40899,504320,2183,65080,14709,127464
205912.83,8127726,7977813,16370460,9427208,4052,109788,23422,69508,40901,504320,2183,65080,14710,127464
206917.26,8128325,7978407,16370460,9427208,4052,109788,23424,69508,40904,504320,2183,65080,14711,127464
207922.28,8128923,7978999,16370460,9427208,4052,109788,23425,69764,40906,504320,2184,65080,14712,127464
208929.24,8129522,7979589,16370460,9427208,4052,109788,23427,69892,40910,504320,2184,65080,14714,127464
209933.07,8130120,7980172,16370460,9436112,4053,109788,23428,69892,40913,504320,2184,65080,14715,127464
210936.96,8130717,7980760,16370460,9435636,4053,109788,23430,69892,40916,504320,2184,65080,14717,127464
211939.93,8131315,7981352,16370460,9435636,4053,109788,23430,69892,40919,504320,2185,65080,14718,127464
212945.15,8131915,7981942,16370460,9435636,4053,109788,23433,69892,40922,504320,2185,65080,14718,127464
213950.1,8132512,7982532,16370460,9435636,4054,109788,23433,69892,40925,504320,2185,65080,14720,127464
214955.38,8133110,7983100,16370460,9433868,4055,109788,23436,68312,40928,504320,2185,65080,14722,127464
215960.99,8133709,7983694,16370460,9433868,4055,109788,23436,68312,40931,504320,2185,65080,14723,127464
216966.95,8134311,7984290,16370460,9433620,4055,109788,23436,68312,40933,504320,2185,65080,14724,127464
217970.39,8134908,7984882,16370460,9433620,4055,109788,23438,68312,40935,504320,2185,65080,14725,127464
218974.8,8135506,7985470,16370460,9433620,4056,109788,23441,68312,40939,504320,2185,65080,14726,127464
219978.21,8136103,7986055,16370460,9433872,4056,109788,23442,68312,40942,504320,2185,65080,14727,127464
220982.56,8136700,7986644,16370460,9433872,4056,109788,23443,68312,40945,504320,2185,65080,14729,127464
221987.5,8137299,7987236,16370460,9433872,4056,109788,23444,68312,40947,504320,2186,65080,14730,127464
222991.2,8137897,7987824,16370460,9435172,4057,109788,23446,68312,40950,504320,2186,65080,14731,127464
223995.85,8138496,7988416,16370460,9435172,4057,109788,23448,68312,40953,504320,2186,65080,14732,127464
224999.96,8139093,7989004,16370460,9435424,4057,109788,23450,68036,40956,504320,2187,65080,14734,127464
226005.85,8139694,7989596,16370460,9435200,4057,109788,23451,68036,40959,504320,2187,65080,14735,127464
227010.77,8140294,7990189,16370460,9435200,4058,109788,23452,68036,40962,504320,2187,65080,14736,127464
228016.47,8140891,7990782,16370460,9435200,4058,109788,23454,68036,40964,504320,2187,65080,14737,127464
229021.23,8141490,7991373,16370460,9435200,4058,109788,23455,68036,40968,504320,2187,65080,14738,127464
230027.29,8142088,7991958,16370460,9436136,4058,109788,23457,68164,40971,504320,2187,65080,14739,127464
231031.07,8142684,7992545,16370460,9436136,4058,109788,23459,68292,40974,504320,2187,65080,14740,127464
232034.78,8143283,7993137,16370460,9436136,4059,109788,23460,68292,40976,504320,2187,65080,14742,127464
233038.92,8143880,7993726,16370460,9436136,4060,109788,23462,68292,40980,504320,2187,65080,14743,127464
234042.7,8144477,7994318,16370460,9436136,4060,109788,23463,68292,40982,504320,2188,65080,14744,127464
235047.14,8145074,7994906,16370460,9436136,4060,109788,23466,68292,40985,504320,2188,65080,14745,127464
236050.8,8145672,7995498,16370460,9436136,4060,109788,23468,68420,40988,504320,2188,65080,14747,127464
237055.2,8146269,7996090,16370460,9436136,4061,109788,23469,68420,40991,504320,2188,65080,14747,127464
238058.94,8146868,7996682,16370460,9436136,4061,109788,23470,68420,40994,504320,2188,65080,14749,127464
239062.95,8147466,7997273,16370460,9436136,4061,109788,23471,68420,40997,504320,2188,65080,14750,127464
240068.02,8148063,7997863,16370460,9435380,4061,109788,23473,68420,40998,504320,2188,65080,14751,127464
241071.99,8148661,7998449,16370460,9427316,4061,109788,23474,68420,41002,504320,2188,65080,14752,127464
242076.64,8149257,7999039,16370460,9427688,4061,109788,23476,68420,41005,504320,2189,65080,14754,127592
243082.5,8149857,7999627,16370460,9427436,4063,109788,23478,69572,41008,504320,2189,65080,14754,127592
244088.06,8150455,8000218,16370460,9427688,4063,109788,23480,69572,41011,504320,2190,65080,14756,127592
245093.15,8151054,8000808,16370460,9427688,4063,109788,23481,69700,41014,504320,2190,65080,14757,127720
246097.42,8151652,8001400,16370460,9427688,4063,109788,23482,69700,41017,504320,2190,65080,14759,127720
247103.7,8152251,8001994,16370460,9427688,4063,109788,23483,69700,41019,504320,2190,65080,14760,127720
248107.88,8152849,8002587,16370460,9427688,4063,109788,23484,69700,41022,504320,2190,65080,14761,127720
249111.75,8153449,8003177,16370460,9427688,4064,109788,23486,69700,41025,504320,2190,65080,14762,127720
250118.46,8154048,8003768,16370460,9427688,4065,109788,23487,69700,41028,504320,2190,65080,14763,127720
251121.13,8154644,8004354,16370460,9422648,4065,109788,23489,69700,41031,504320,2190,65080,14765,127720
252125.44,8155243,8004946,16370460,9422648,4065,109788,23489,69700,41033,504320,2190,65080,14765,127720
253129.93,8155842,8005538,16370460,9422648,4065,109788,23491,69700,41036,504320,2190,65080,14767,127720
254134.97,8156442,8006129,16370460,9422648,4065,109788,23492,69700,41039,504320,2190,65080,14768,127720
255140.21,8157040,8006717,16370460,9424160,4066,109788,23493,68092,41041,504320,2191,65080,14771,127720
256144.91,8157639,8007309,16370460,9424160,4066,109788,23495,68220,41043,504320,2191,65080,14772,127720
257150.24,8158236,8007901,16370460,9424160,4066,109788,23495,68220,41046,504320,2191,65080,14773,127720
258153.88,8158834,8008493,16370460,9424160,4066,109788,23497,68220,41049,504320,2191,65080,14774,127720
259159.84,8159431,8009083,16370460,9424160,4067,109788,23499,68220,41052,504320,2192,65080,14776,127720
260164.5,8160030,8009673,16370460,9424160,4068,109788,23500,68220,41055,504320,2192,65080,14777,127720
261168.61,8160629,8010259,16370460,9436456,4068,109788,23502,68348,41058,504320,2192,65080,14778,127720
262174.73,8161228,8010850,16370460,9436456,4068,109788,23504,65540,41061,504320,2192,65080,14779,127720
263179.86,8161829,8011440,16370460,9436456,4069,109788,23506,65540,41064,504320,2192,65080,14781,127720
264185.07,8162427,8012029,16370460,9436456,4069,109788,23509,65300,41068,504320,2192,65080,14781,127720
265194.13,8163028,8012624,16370460,9436456,4070,109788,23510,65300,41070,504320,2192,65080,14782,127720
266196.97,8163625,8013216,16370460,9436456,4070,109788,23511,65300,41073,504320,2193,65080,14784,127720
267198.76,8164224,8013808,16370460,9436456,4070,109788,23512,65300,41075,504320,2193,65080,14784,127720
268202.44,8164822,8014398,16370460,9436456,4070,109788,23513,65300,41078,504320,2193,65080,14786,127720
269206.77,8165421,8014987,16370460,9436204,4071,109788,23514,65428,41081,504320,2193,65080,14787,127720
